Cennik blum - LISTOPAD 2025,,,,,,,,,
przy kursie 1 EUR =  4.25 PLN,,,,,,,,,
,,,,,,,,,
"Podane ceny mają wyłącznie charakter rekomendacji i nie są w żaden sposób wiążące dla kontrahentów, którzy posiadają swobodę w kształtowaniu swojej polityki cenowej.",,,,,,,,,
Przy zawieraniu i realizacji umów sprzedaży między Blum a Kupującym stosuje się Ogólne Warunki Handlowe Blum dostępne pod adresem http://www.blum.com,,,,,,,,,
,,,,,,,,,
Grupa,Symbol,Numer identyfikacyjny,Cena za,Cena PLN za 1 szt.,Min. Zamówienie,Waga [kg] za 1000 szt.,ilość na palecie [szt],Kod EAN,Opis produktu
CLIP 155, 71B7580   MB    V125 ONS,08918120,1,"24,40",125,"186,245",3 000,9009494295528,"CLIP top BLUMOTION Zawias z szerokim kątem otwarcia i zerowym uskokiem     155°, Drzwi nakładane, puszka: wciskana+czarny*P/U: 125"
CLIP 155, 71B7590   MB    V125  NI,08161439,1,"23,93",125,"196,103",3 000,9009494301526,"CLIP top BLUMOTION Zawias z szerokim kątem otwarcia i zerowym uskokiem     155°, Drzwi nakładane, puszka: INSERTA+niklowany*P/U: 125"
CLIP 155, 71B7590   MB    V125 ONS,02582703,1,"27,58",125,"196,393",3 000,9009494301540,"CLIP top BLUMOTION Zawias z szerokim kątem otwarcia i zerowym uskokiem     155°, Drzwi nakładane, puszka: INSERTA+czarny*P/U: 125"
CLIP 155, 71B7650   MB     V25  NI,01159619,1,"25,03",25,"209,398",1 500,9009494301762,"CLIP top BLUMOTION zawias z szerokim kątem otw. 155°, Drzwi bliźniacze,     puszka: na wkręty+niklowany*P/U: 25/125"
CLIP 155, 71B7650   MB     V25 ONS,08672608,1,"28,65",25,"210,273",2 000,9009494529630 ,"CLIP top BLUMOTION zawias z szerokim kątem otw. 155°，Drzwi bliźniacze, puszka: na wkręty, czarny"
CLIP 155, 71B7690   MB     V25  NI,05212208,1,"28,56",25,"222,617",1 500,9009494301779,"CLIP top BLUMOTION zawias z szerokim kątem otw. 155°, Drzwi bliźniacze,     puszka: INSERTA+niklowany*P/U: 25/125"
CLIP 155, 71B7690   MB     V25 ONS,03309949,1,"32,17",25,"222,907",1 500,9009494301892,"CLIP top BLUMOTION zawias z szerokim kątem otw. 155°, Drzwi bliźniacze,     puszka: INSERTA+czarny*P/U: 25/125"
CLIP 155, 71B7550D  MB     V25  NI,07422203,1,"26,44",25,"196,901",1 500,9009494302929,"CLIP top BLUMOTION Zawias do drzwi profilowanych z zerowym uskokiem     125°, Drzwi nakładane, puszka: na wkręty+niklowany*P/U: 25/125"
CLIP 155, 71B7550D  MB     V25 ONS,01537799,1,"30,09",25,"196,238",1 500,9009494764796,"CLIP top BLUMOTION Zawias do drzwi profilowanych z zerowym uskokiem     125°, Drzwi nakładane, puszka: na wkręty+czarny*P/U: 25/125"
CLIP 155, 71B7580D  MB     V25  NI,05482510,1,"26,78",125,"199,601",1 500,9009494302714,"CLIP top BLUMOTION Zawias do drzwi profilowanych z zerowym uskokiem     125°, Drzwi nakładane, puszka: wciskana+niklowany*P/U: 25/125"
CLIP 155, 70T7550.TLMB     V25  NI,08293246,1,"15,81",25,"186,81",1 500,9009494302417,"CLIP top Zawias z szerokim kątem otwarcia i zerowym uskokiem 155°, Drzwi     nakładane, bez sprężyny, puszka: na wkręty+niklowany*P/U: 25/125"
CLIP 155, 70T7550.TLMB     V25 ONS,01773612,1,"19,47",25,"187,1",1 500,9009494302592,"CLIP top Zawias z szerokim kątem otwarcia i zerowym uskokiem 155°, Drzwi     nakładane, bez sprężyny, puszka: na wkręty+czarny*P/U: 25/125"
CLIP 155, 70T7590.TLMB     V25  NI,01218652,1,"19,34",25,"200,029",1 500,9009494302424,"CLIP top Zawias z szerokim kątem otwarcia i zerowym uskokiem 155°, Drzwi     nakładane, bez sprężyny, puszka: INSERTA+niklowany*P/U: 25/125"
CLIP 155, 70T7590.TLMB     V25 ONS,06455975,1,"22,95",25,"200,319",1 500,9009494302707,"CLIP top Zawias z szerokim kątem otwarcia i zerowym uskokiem 155°, Drzwi     nakładane, bez sprężyny, puszka: INSERTA+czarny*P/U: 25/125"
CLIP 155, 70T7650.TLMB     V25  NI,06843804,1,"20,10",25,"202,107",1 500,9009494301885,"CLIP top zawias z szerokim kątem otw. 155°, Drzwi bliźniacze, bez     sprężyny, puszka: na wkręty+niklowany*P/U: 25/125"
CLIP 155, 70T7690.TLMB     V25  NI,05754060,1,"23,63",125,"215,326",1 500,9009494302431,"CLIP top zawias z szerokim kątem otw. 155°, Drzwi bliźniacze, bez     sprężyny, puszka: INSERTA+niklowany*P/U: 25/125"
CLIP 155, 71T7550   MB    V125  NI,07523966,1,"15,51",125,"179,145",3 000,9009494295306,"CLIP top Zawias z szerokim kątem otwarcia i zerowym uskokiem 155°, Drzwi     nakładane, puszka: na wkręty+niklowany*P/U: 125"
CLIP 155, 71T7580   MB    V125  NI,01835352,1,"15,85",1 500,"181,845",3 000,9009494295382,"CLIP top Zawias z szerokim kątem otwarcia i zerowym uskokiem 155°, Drzwi     nakładane, puszka: wciskana+niklowany*P/U: 125"
CLIP 155, 71T7590   MB    V125  NI,02370065,1,"19,00",125,"191,993",3 000,9009494301533,"CLIP top Zawias z szerokim kątem otwarcia i zerowym uskokiem 155°, Drzwi     nakładane, puszka: INSERTA+niklowany*P/U: 125"
CLIP 155, 71T7650   MB     V25  NI,05282291,1,"20,10",25,"205,288",1 500,9009494301854,"CLIP top zawias z szerokim kątem otw. 155°, Drzwi bliźniacze, puszka: na     wkręty+niklowany*P/U: 25/125"
CLIP 170, 70T6540BTLMB     V25  NI,07108803,1,"16,70",125,"209,557",1 500,9002617657678,"CLIP top zawias z szerokim kątem otw. 170°, Drzwi nakładane, bez     sprężyny, puszka: INSERTA+niklowany*P/U: 25/125"
CLIP 170, 70T6550.TLMB     V25  NI,03733983,1,"11,90",25,"170,324",1 500,9002617447576,"CLIP top zawias z szerokim kątem otw. 170°, Drzwi nakładane, bez     sprężyny, puszka: na wkręty+niklowany*P/U: 25/125"
